Vacancy Id,Hiring Limit
5c0e2314a1c9e9714fe3b2f2,2
5bd1b930c430d917041836bd,1
5c0e2314a1c9e9714fe3b2f0,0
5c0e231500411d7154949e1b,2
5bd1b98ddd59b417229619a0,1
=
Vacancy Id,Candidate Id,Module1,Module2,Module3,Module4,Module5
5c0e2314a1c9e9714fe3b2f2,5bffe0fb3a8d783e648f8fdd,2,30,24.5,X,X
5c0e2314a1c9e9714fe3b2f2,5bffe0fb3a8d783e648f8fdc,20,30,50,X,X
5c0e2314a1c9e9714fe3b2f2,5c00fd874e843c3e6ab79911,40,40,60,X,X
5c0e2314a1c9e9714fe3b2f2,5c069d933a8d783e64907809,5,50,100,X,X
5c0e2314a1c9e9714fe3b2f2,5c00981e4e843c3e6ab784e9,20,60,22,X,X
5bd1b930c430d917041836bd,5c00981e4e843c3e6ab784e8,80,70,41,30.54,X
5bd1b930c430d917041836bd,5c00981e4e843c3e6ab784ea,21,80,15,40.44,X
5bd1b930c430d917041836bd,5c09eed5c2e69b5cd6030d9e,24,90,23,12.12,X
5c0e2314a1c9e9714fe3b2f0,5c09ff1cc2e69b5cd6030ec3,24,10,X,X,X
5c0e2314a1c9e9714fe3b2f0,5c0110ce3a8d783e648fb423,64.22,20,X,X,X
5c0e2314a1c9e9714fe3b2f0,5c012c143a8d783e648fbc6d,84,30,X,X,X
5c0e2314a1c9e9714fe3b2f0,5c012c484e843c3e6ab7ac82,73.11,30,X,X,X
5c0e2314a1c9e9714fe3b2f0,5c012ca14e843c3e6ab7ac8e,23,20.66,X,X,X
5c0e2314a1c9e9714fe3b2f0,5c014aa44e843c3e6ab7b4c1,15,20,X,X,X
5c0e231500411d7154949e1b,5c06a4a93a8d783e6490781a,25,10,86,33,12.55
5c0e231500411d7154949e1b,5c01471f3a8d783e648fc35b,74,0,88,54,88.19
5c0e231500411d7154949e1b,5c014da24e843c3e6ab7b538,35,0,14,95.6,100
5bd1b98ddd59b417229619a0,59eddb28b04ebd24c13149b7,3,40,45,12,X
5bd1b98ddd59b417229619a0,5c0157b33a8d783e648fc713,67,0,11,66,X
5bd1b98ddd59b417229619a0,5c0158044e843c3e6ab7b79c,41,18,33,52.33,X
